Campaign,Campaign Type,Campaign Daily Budget,Campaign status,Networks,Languages,Bid Strategy Type,Maximum CPC bid limit,Final URL suffix,Location,Ad Group,Ad Group Status,Max CPC,Keyword,Type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Callout text,Sitelink text,Platform targeting
"SNCO | Search | Seller Intent","Search","93.68","Scratchpad","Google Search","English","Maximize clicks","25","utm_source=google&utm_medium=cpc&utm_campaign=snoco_seller_search&utm_content={creative}&utm_term={keyword}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"Sell As-Is",,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"No Repairs Needed",,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"No Agent Commissions",,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"Choose Your Timeline",,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"Local Washington Buyer",,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused",,,,,,,,,,,,,,,,,,,,,,,"No Pressure to Accept",,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county#how-it-works",,,,,,,,,,,,,,,,,,"See the three-step process","Know what happens next",,,,"How It Works","All"
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county#compare",,,,,,,,,,,,,,,,,,"Review speed versus retail","Choose what fits your goals",,,,"Compare Your Options","All"
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county#faq",,,,,,,,,,,,,,,,,,"Read answers before deciding","Clear principal-buyer details",,,,"Seller Questions","All"
"SNCO | Search | Seller Intent",,,,,,,,,,,,,,,"Paused","https://washingtonhomeoffers.com/snohomish-county#get-offer",,,,,,,,,,,,,,,,,,"Share the property basics","No obligation to accept",,,,"Request an Offer","All"
"SNCO | Search | Seller Intent",,,,,,,,,"Snohomish County, Washington, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"jobs","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"careers","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"salary","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"internship","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"real estate course","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"wholesaling course","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
"SNCO | Search | Seller Intent",,,,,,,,,,,,,"wholesaling training","Campaign negative",,,,,,,,,,,,,,,,,,,,,,,,,,
